instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
223969541,874881,BANKEX25NOVFUT,"BANKEX",0,2025-11-27,0,0.05,30,FUT,BFO-FUT,BFO
282664965,1104160,BANKEX25DECFUT,"BANKEX",0,2025-12-24,0,0.05,30,FUT,BFO-FUT,BFO
293244165,1145485,BANKEX26JANFUT,"BANKEX",0,2026-01-29,0,0.05,30,FUT,BFO-FUT,BFO
223700485,873830,SENSEX25NOVFUT,"SENSEX",0,2025-11-27,0,0.05,20,FUT,BFO-FUT,BFO
282186245,1102290,SENSEX25DECFUT,"SENSEX",0,2025-12-24,0,0.05,20,FUT,BFO-FUT,BFO
292786437,1143697,SENSEX26JANFUT,"SENSEX",0,2026-01-29,0,0.05,20,FUT,BFO-FUT,BFO
223879685,874530,SENSEX5025NOVFUT,"SENSEX50",0,2025-11-27,0,0.05,75,FUT,BFO-FUT,BFO
284815877,1112562,SENSEX5025DECFUT,"SENSEX50",0,2025-12-24,0,0.05,75,FUT,BFO-FUT,BFO
291110661,1137151,SENSEX5026JANFUT,"SENSEX50",0,2026-01-29,0,0.05,75,FUT,BFO-FUT,BFO
224026629,875104,BANKEX25NOV65000PE,"BANKEX",0,2025-11-27,65000,0.05,30,PE,BFO-OPT,BFO
224079877,875312,BANKEX25NOV65000CE,"BANKEX",0,2025-11-27,65000,0.05,30,CE,BFO-OPT,BFO
223896069,874594,BANKEX25NOV65100PE,"BANKEX",0,2025-11-27,65100,0.05,30,PE,BFO-OPT,BFO
224267013,876043,BANKEX25NOV65100CE,"BANKEX",0,2025-11-27,65100,0.05,30,CE,BFO-OPT,BFO
223887621,874561,BANKEX25NOV64900PE,"BANKEX",0,2025-11-27,64900,0.05,30,PE,BFO-OPT,BFO
224261893,876023,BANKEX25NOV64900CE,"BANKEX",0,2025-11-27,64900,0.05,30,CE,BFO-OPT,BFO
223783429,874154,BANKEX25NOV65200CE,"BANKEX",0,2025-11-27,65200,0.05,30,CE,BFO-OPT,BFO
224180229,875704,BANKEX25NOV65200PE,"BANKEX",0,2025-11-27,65200,0.05,30,PE,BFO-OPT,BFO
223692293,873798,BANKEX25NOV64800PE,"BANKEX",0,2025-11-27,64800,0.05,30,PE,BFO-OPT,BFO
224067077,875262,BANKEX25NOV64800CE,"BANKEX",0,2025-11-27,64800,0.05,30,CE,BFO-OPT,BFO
223706373,873853,BANKEX25NOV65300CE,"BANKEX",0,2025-11-27,65300,0.05,30,CE,BFO-OPT,BFO
224117765,875460,BANKEX25NOV65300PE,"BANKEX",0,2025-11-27,65300,0.05,30,PE,BFO-OPT,BFO
223767557,874092,BANKEX25NOV64700PE,"BANKEX",0,2025-11-27,64700,0.05,30,PE,BFO-OPT,BFO
223795205,874200,BANKEX25NOV64700CE,"BANKEX",0,2025-11-27,64700,0.05,30,CE,BFO-OPT,BFO
223905029,874629,BANKEX25NOV65400CE,"BANKEX",0,2025-11-27,65400,0.05,30,CE,BFO-OPT,BFO
224288517,876127,BANKEX25NOV65400PE,"BANKEX",0,2025-11-27,65400,0.05,30,PE,BFO-OPT,BFO
223865093,874473,BANKEX25NOV64600CE,"BANKEX",0,2025-11-27,64600,0.05,30,CE,BFO-OPT,BFO
224252933,875988,BANKEX25NOV64600PE,"BANKEX",0,2025-11-27,64600,0.05,30,PE,BFO-OPT,BFO
223802117,874227,BANKEX25NOV65500PE,"BANKEX",0,2025-11-27,65500,0.05,30,PE,BFO-OPT,BFO
223828741,874331,BANKEX25NOV65500CE,"BANKEX",0,2025-11-27,65500,0.05,30,CE,BFO-OPT,BFO
223673605,873725,BANKEX25NOV64500CE,"BANKEX",0,2025-11-27,64500,0.05,30,CE,BFO-OPT,BFO
224048901,875191,BANKEX25NOV64500PE,"BANKEX",0,2025-11-27,64500,0.05,30,PE,BFO-OPT,BFO
223730181,873946,BANKEX25NOV65600PE,"BANKEX",0,2025-11-27,65600,0.05,30,PE,BFO-OPT,BFO
224125445,875490,BANKEX25NOV65600CE,"BANKEX",0,2025-11-27,65600,0.05,30,CE,BFO-OPT,BFO
223742469,873994,BANKEX25NOV64400CE,"BANKEX",0,2025-11-27,64400,0.05,30,CE,BFO-OPT,BFO
224147205,875575,BANKEX25NOV64400PE,"BANKEX",0,2025-11-27,64400,0.05,30,PE,BFO-OPT,BFO
